label;nama;jumlahpersajian;kalori;protein;lemak;karbohidrat;serat;zatbesi;kalium;vitamin;manfaat;peringatan
MieBakso;Mie Bakso;100 gram;114;5.3;3;16.4;0.1;1.9;0;A, B1;Sumber karbohidrat untuk energi, protein dari bakso untuk pertumbuhan otot;"Sering mengandung bahan pengawet dan MSG, perlu dikonsumsi secukupnya; Rendah serat (0.1g) kurang baik untuk pencernaan"
BuahApelSegar;Buah Apel Segar;100 gram;58;0.3;0.4;14.9;2.6;0.3;130;B1, B2, B3, C;Tinggi serat untuk pencernaan, mengandung antioksidan, baik untuk kesehatan jantung;Biji apel mengandung sianida dalam jumlah kecil, sebaiknya tidak dikonsumsi
BuahAlpukatSegar;Buah Alpukat Segar;100 gram;85;0.9;6.6;7.7;0;0.9;278;B1, B2, B3, C;Tinggi kalium untuk kesehatan jantung, Baik untuk kesehatan kulit dan rambut; Konsumsi berlebihan dapat menyebabkan kenaikan berat badan
BuahPepaya;Buah Pepaya;100 gram;46;5;0.1;12.2;1.6;0.3;221;B1, B2, B3, C;Serat untuk pencernaan, flavonoid untuk antioksidan;Dapat menyebabkan diare jika dikonsumsi berlebihan
BuahJerukManisSegar;Buah Jeruk Manis Segar;100 gram;45;0.9;0.2;11.2;1.4;0.4;472.1;B1, B2, B3, C; Kalium untuk jantung;Konsumsi 4-5 buah jeruk sehari dapat menyebabkan kelebihan serat yang memicu sakit perut, kram, diare, kembung, dan mual
BuahManggaSegar;Buah Mangga Segar;100 gram;52;0.7;0;12.3;1.6;1;140;B1, B2, B3, C; Serat untuk pencernaan;Mengandung gula tinggi, penderita diabetes perlu membatasi konsumsi
Gado-Gado;Gado-Gado;100 gram;137;6.1;3.20;21;1.1;7.5;0;A, B1, C;Sayuran beragam memberikan vitamin dan mineral, protein dari tahu tempe, serat tinggi;Bumbu kacang tinggi kalori, santan berlebihan meningkatkan kolesterol
KueKelepon;Kue Kelepon;100 gram;215;3.7;3.7;41.8;1;3.3;0;B1, B2, B3;Gula kelapa sebagai sumber energi cepat;Tinggi gula dan kalori, konsumsi berlebihan berisiko diabetes dan obesitas
KueLumpur;Kue Lumpur;100 gram;291;3.6;11.1;44.1;0;2.3;0;A, B1;Sumber karbohidrat untuk energi;Tinggi gula dan lemak jenuh, konsumsi berlebihan meningkatkan kolesterol
KueNagasari;Kue Nagasari;70 gram;154;1.09;2.87;30.25;0;0;0;-;Santan sebagai sumber lemak, tepung sebagai energi;Tinggi kalori dari santan, gula berlebihan berisiko diabetes
KuePastel;Kue Pastel;100 gram;307;4.5;13.3;42.4;0;250;0;B1;protein dari telur atau daging;Konsumsi berlebihan meningkatkan kolesterol jahat
KueBikaAmbon;Kue Bika Ambon;100 gram;199;2.1;1.5;44.4;0.3;1.8;0;B1;Santan kelapa memberikan energi, telur sebagai sumber protein;Sangat tinggi gula dan lemak jenuh, berisiko diabetes dan penyakit jantung
NasiGoreng;Nasi Goreng;200 gram;500;7;17.8;40.2;0.4;0.6;86;E, B2, B6;Mengandung karbohidrat yang memberikan energi;Sangat tinggi kalori dan lemak, dapat menyebabkan obesitas jika sering dikonsumsi
NasiRames;Nasi Rames;100 gram;155;10.3;4.2;19.1;0;1.8;0;A, B1;Gizi seimbang dari nasi, lauk protein, sayuran, dan sambal;Porsi besar tinggi kalori, santan dan minyak berlebihan meningkatkan lemak jenuh
Rawon;Rawon;100 gram;60;5.4;2.5;4;0;3.3;0;A, B1;Protein tinggi dari daging, kluwek sebagai antioksidan;Konsumsi berlebihan berisiko hipertensi
RendangSapi;Rendang Sapi;100 gram;193;22.6;7.9;7.8;0;14.9;0;A, B1;Protein tinggi untuk otot;Sangat tinggi lemak jenuh, sodium tinggi, kalori padat berisiko obesitas
SateAyam;Sate Ayam;100 gram;225;19.54;14.82;4.87;0;0;0;-;Tinggi protein untuk pertumbuhan otot;Proses pembakaran dapat menghasilkan senyawa karsinogenik, sebaiknya tidak terlalu gosong
SayurAsem;Sayur Asem;100 gram;29;0.7;0.6;5;0.6;3.1;0;A, B1;Rendah kalori, mengandung serat dan vitamin, baik untuk pencernaan;Mengandung asam yang tinggi, dapat memicu asam lambung pada penderita maag
SayurSop;Sayur Sop;100 gram;27;1.3;2;1;0.3;1.8;0;A, B1, C;Rendah kalori, kaya vitamin dan mineral dari sayuran;Kandungan natrium bisa tinggi tergantung bumbu, perhatikan bagi penderita hipertensi
TelurAyamDadar;Telur Ayam Dadar;100 gram;251;16.3;19.4;1.4;0;2.5;0;A, B1;Protein membantu menstabilkan kadar gula darah;Tinggi kolesterol, minyak goreng berlebihan meningkatkan lemak trans
;  ;;;;;;;;;;;
